date,minimum,maximum,range,mean,std
2023-11-26,1.02786,1.086159,0.058297,1.055989,0.015768
2023-11-27,1.260929,1.29585,0.03492,1.27538,0.008782
2023-11-28,1.09104,1.11002,0.018984,1.098709,0.00503
2023-11-29,0.92913,1.026909,0.097777,0.976738,0.02607
2023-11-30,0.801846,0.907908,0.10606,0.854376,0.028434
2023-12-01,1.500779,1.72149,0.220708,1.585819,0.058867
2023-12-02,1.0546,1.11468,0.060081,1.083189,0.016207
2023-12-03,0.950012,1.0339,0.083891,0.993174,0.022519
2023-12-04,0.928156,0.95371,0.025553,0.940469,0.006864
2023-12-05,0.767562,0.820622,0.05306,0.795495,0.014022
2023-12-06,0.717684,0.729355,0.011671,0.724977,0.002975
2023-12-07,0.889388,0.891263,0.001874,0.889973,0.000428
2023-12-08,1.043889,1.062759,0.018873,1.05321,0.005056
2023-12-09,0.912595,0.954623,0.042028,0.935554,0.011287
2023-12-10,1.04126,1.049729,0.008465,1.046409,0.00226
2023-12-12,0.845035,0.965586,0.120549,0.904781,0.032265
2023-12-13,1.482399,1.56113,0.07873,1.5203,0.021276
2023-12-14,1.354079,1.432299,0.078215,1.392339,0.021154
2023-12-15,2.27444,2.751899,0.477461,2.50914,0.128351
2023-12-16,2.950069,3.568949,0.618887,3.25446,0.166102
2023-12-17,1.84964,2.14527,0.295626,1.99632,0.079815
2023-12-18,1.162279,1.17866,0.016372,1.171759,0.004434
2023-12-19,1.201439,1.226609,0.025178,1.215229,0.006793
2023-12-20,0.922774,0.933445,0.010672,0.929544,0.002168
2023-12-21,1.201009,1.2676,0.066592,1.23835,0.018154
2023-12-22,1.38934,1.40427,0.014925,1.399629,0.00386
2023-12-23,1.027909,1.050699,0.022788,1.0412,0.006256
2023-12-24,0.783474,0.839739,0.056266,0.812453,0.015127
2023-12-25,0.864235,0.877156,0.012921,0.870615,0.003492
2023-12-26,0.944485,1.014379,0.069895,0.979173,0.018696
2023-12-27,0.742385,0.749525,0.007138,0.746421,0.001918
2023-12-28,1.157529,1.298519,0.140982,1.227169,0.037846
2023-12-29,0.981491,1.054939,0.073446,1.018599,0.019662
2023-12-30,0.922972,0.928435,0.005462,0.92554,0.001442
2023-12-31,0.733875,0.835864,0.101988,0.785939,0.027294
2024-01-01,0.741346,0.787123,0.045777,0.765304,0.012408
2024-01-02,0.729116,0.867273,0.138156,0.798088,0.037119
2024-01-03,0.618005,0.620108,0.002101,0.619358,0.000545
2024-01-04,0.597114,0.665403,0.068288,0.633023,0.018549
2024-01-05,1.53794,1.682649,0.144711,1.60652,0.038968
2024-01-06,1.2824,1.45674,0.174344,1.366,0.046954
2024-01-07,1.01705,1.03585,0.018795,1.028259,0.005143
2024-01-08,1.09457,1.14171,0.047148,1.11916,0.012633
2024-01-09,0.432375,0.479416,0.04704,0.457381,0.012754
